H_boundary,start_M,known_n,hidden_k,Q_cert,offset,D_total_decimal_depth,L_min,L_cert,decimal_digits_used_for_cert,known_prefix_tail_preview,true_hidden,recovered_hidden,success,ambiguous,candidate_count,surviving_digits_if_k1,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,q_cell_decimal_digits
500000,499901,99,1,16,2,100,84,86,194,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,104
500000,499901,99,1,16,4,100,84,88,196,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,106
1000000,999901,99,1,4,0,100,167,167,191,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,101
1000000,999901,99,1,4,1,100,167,168,192,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,101
1000000,999901,99,1,4,2,100,167,169,192,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,102
1000000,999901,99,1,4,4,100,167,171,193,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,103
1000000,999901,99,1,16,0,100,84,84,192,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,101
1000000,999901,99,1,16,1,100,84,85,193,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,102
1000000,999901,99,1,16,2,100,84,86,194,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,104
1000000,999901,99,1,16,4,100,84,88,196,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,106
1500000,1499901,99,1,4,0,100,167,167,191,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,101
1500000,1499901,99,1,4,1,100,167,168,192,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,101
1500000,1499901,99,1,4,2,100,167,169,192,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,102
1500000,1499901,99,1,4,4,100,167,171,193,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,103
1500000,1499901,99,1,16,0,100,84,84,192,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,101
1500000,1499901,99,1,16,1,100,84,85,193,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,102
1500000,1499901,99,1,16,2,100,84,86,194,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,104
1500000,1499901,99,1,16,4,100,84,88,196,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,106
10000,9900,100,1,4,0,101,168,168,192,959688159205600101655256375678,5,,False,True,2,56,5,6,5,6,101
10000,9900,100,1,4,1,101,168,169,192,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,102
10000,9900,100,1,4,2,101,168,170,193,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,102
10000,9900,100,1,4,4,101,168,172,194,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,103
10000,9900,100,1,16,0,101,84,84,192,959688159205600101655256375678,5,,False,True,2,56,5,6,5,6,101
10000,9900,100,1,16,1,101,84,85,193,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,102
10000,9900,100,1,16,2,101,84,86,194,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,103
10000,9900,100,1,16,4,101,84,88,196,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,106
50000,49900,100,1,4,0,101,168,168,192,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,101
50000,49900,100,1,4,1,101,168,169,192,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,101
50000,49900,100,1,4,2,101,168,170,193,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,102
50000,49900,100,1,4,4,101,168,172,194,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,103
