L_base4,K,K_kind,top_fraction,top_residue_count,coverage,recall_mean,recall_sd,lift_mean,lift_sd,residue_entropy_norm,max_bin_share,dataset
8,15785,resonance,0.2,3157,0.2,0.14779052734375,0.0012779154611206,0.73895263671875,0.006389577305603,0.9933572980887468,0.000152587890625,pi_base4
8,113,control,0.01,1,0.0088495575221238,0.0085957845052083,0.0003458359649282,0.9713236490885416,0.0390794640368901,0.9999189244592284,0.00958251953125,pi_base4
8,113,control,0.02,2,0.0176991150442477,0.01728515625,0.0006253051013118,0.976611328125,0.0353297382241167,0.9999189244592284,0.00958251953125,pi_base4
8,113,control,0.05,6,0.0530973451327433,0.0519541422526041,0.0008251674479357,0.9784696790907116,0.0155406536027904,0.9999189244592284,0.00958251953125,pi_base4
8,113,control,0.1,11,0.0973451327433628,0.0949727376302083,0.0011701924996903,0.9756290320194128,0.0120210684059098,0.9999189244592284,0.00958251953125,pi_base4
8,113,control,0.2,23,0.2035398230088495,0.1984842936197916,0.0018633046800733,0.9751619643059328,0.0091544969064475,0.9999189244592284,0.00958251953125,pi_base4
8,641,control,0.01,6,0.0093603744149766,0.008306884765625,0.0004668557782963,0.887452189127604,0.0498757589813253,0.9996399173800604,0.001953125,pi_base4
8,641,control,0.02,13,0.0202808112324493,0.01827392578125,0.0005459377795551,0.9010451096754808,0.0269189320534501,0.9996399173800604,0.001953125,pi_base4
8,641,control,0.05,32,0.0499219968798752,0.0452372233072916,0.0009707383154347,0.9061581293741862,0.0194451018810529,0.9996399173800604,0.001953125,pi_base4
8,641,control,0.1,64,0.0998439937597504,0.0925699869791666,0.0012494661595254,0.9271462758382162,0.0125141845039972,0.9996399173800604,0.001953125,pi_base4
8,641,control,0.2,128,0.1996879875195008,0.1875172932942708,0.0012580174219284,0.9390514453252156,0.0062999153707511,0.9996399173800604,0.001953125,pi_base4
8,3251,control,0.01,33,0.0101507228545063,0.0079152425130208,0.0003902976996068,0.779771315449416,0.0384502370127854,0.9984278935471989,0.00048828125,pi_base4
8,3251,control,0.02,65,0.0199938480467548,0.0157765706380208,0.0005930931643758,0.7890712483723956,0.0296637827290156,0.9984278935471989,0.00048828125,pi_base4
8,3251,control,0.05,163,0.0501384189480159,0.0410664876302083,0.0008161130517584,0.8190622778270386,0.0162771995783243,0.9984278935471989,0.00048828125,pi_base4
8,3251,control,0.1,325,0.0999692402337742,0.0844289143880208,0.0013195852380918,0.8445489251552484,0.0131999126431899,0.9984278935471989,0.00048828125,pi_base4
8,3251,control,0.2,650,0.1999384804675484,0.1749776204427083,0.0018350402407055,0.8751572985526844,0.0091780243423594,0.9984278935471989,0.00048828125,pi_base4
8,16001,control,0.01,160,0.00999937503906,0.0053029378255208,0.0003839788358661,0.5303269259134928,0.0384002834543357,0.9931904668677712,0.000152587890625,pi_base4
8,16001,control,0.02,320,0.0199987500781201,0.01099853515625,0.0004362768604713,0.5499611282348632,0.021815206388757,0.9931904668677712,0.000152587890625,pi_base4
8,16001,control,0.05,800,0.0499968751953002,0.0310648600260416,0.0006644583127088,0.621336031595866,0.0132899968270685,0.9931904668677712,0.000152587890625,pi_base4
8,16001,control,0.1,1600,0.0999937503906005,0.0666788736979166,0.0012163448946835,0.6668304112752279,0.0121642091623945,0.9931904668677712,0.000152587890625,pi_base4
8,16001,control,0.2,3200,0.1999875007812011,0.1475779215494791,0.0016438578613575,0.7379357258478801,0.0082198030123692,0.9931904668677712,0.000152587890625,pi_base4
8,109,resonance,0.01,1,0.009174311926605505,0.008611043294270834,0.00036536932416737176,0.9386037190755209,0.03982525633424352,0.9999378926497559,0.009796142578125,random_base4
8,109,resonance,0.02,2,0.01834862385321101,0.017400105794270832,0.0005502245895413753,0.9483057657877604,0.02998724013000496,0.9999378926497559,0.009796142578125,random_base4
8,109,resonance,0.05,5,0.045871559633027525,0.04368184407552083,0.0007828014915726105,0.952264200846354,0.01706507251628291,0.9999378926497559,0.009796142578125,random_base4
