cutoff_H,step,boundary_before_step,tail_len,tail_preview,true_digit,selected_digit,accepted_count,accepted_digits,rejected_count,negative_alignment_candidates,certificate_guard_len,guard_preview,step_correct,tail_occurrences_in_known_after_step,tail_has_earlier_duplicate_diagnostic
50000,60,50059,100,679554256605416005071276641766,0,0,1,0,9,10,32,0568742742003295,True,1,False
50000,61,50060,100,795542566054160050712766417660,5,5,1,5,9,10,32,5687427420032957,True,1,False
50000,62,50061,100,955425660541600507127664176605,6,6,1,6,9,10,32,6874274200329577,True,1,False
50000,63,50062,100,554256605416005071276641766056,8,8,1,8,9,10,32,8742742003295771,True,1,False
50000,64,50063,100,542566054160050712766417660568,7,7,1,7,9,10,32,7427420032957716,True,1,False
50000,65,50064,100,425660541600507127664176605687,4,4,1,4,9,10,32,4274200329577160,True,1,False
50000,66,50065,100,256605416005071276641766056874,2,2,1,2,9,10,32,2742003295771606,True,1,False
50000,67,50066,100,566054160050712766417660568742,7,7,1,7,9,10,32,7420032957716064,True,1,False
50000,68,50067,100,660541600507127664176605687427,4,4,1,4,9,10,32,4200329577160643,True,1,False
50000,69,50068,100,605416005071276641766056874274,2,2,1,2,9,10,32,2003295771606434,True,1,False
50000,70,50069,100,054160050712766417660568742742,0,0,1,0,9,10,32,0032957716064344,True,1,False
50000,71,50070,100,541600507127664176605687427420,0,0,1,0,9,10,32,0329577160643448,True,1,False
50000,72,50071,100,416005071276641766056874274200,3,3,1,3,9,10,32,3295771606434486,True,1,False
50000,73,50072,100,160050712766417660568742742003,2,2,1,2,9,10,32,2957716064344860,True,1,False
50000,74,50073,100,600507127664176605687427420032,9,9,1,9,9,10,32,9577160643448606,True,1,False
50000,75,50074,100,005071276641766056874274200329,5,5,1,5,9,10,32,5771606434486062,True,1,False
50000,76,50075,100,050712766417660568742742003295,7,7,1,7,9,10,32,7716064344860620,True,1,False
50000,77,50076,100,507127664176605687427420032957,7,7,1,7,9,10,32,7160643448606201,True,1,False
50000,78,50077,100,071276641766056874274200329577,1,1,1,1,9,10,32,1606434486062012,True,1,False
50000,79,50078,100,712766417660568742742003295771,6,6,1,6,9,10,32,6064344860620123,True,1,False
50000,80,50079,100,127664176605687427420032957716,0,0,1,0,9,10,32,0643448606201239,True,1,False
50000,81,50080,100,276641766056874274200329577160,6,6,1,6,9,10,32,6434486062012398,True,1,False
50000,82,50081,100,766417660568742742003295771606,4,4,1,4,9,10,32,4344860620123982,True,1,False
50000,83,50082,100,664176605687427420032957716064,3,3,1,3,9,10,32,3448606201239821,True,1,False
50000,84,50083,100,641766056874274200329577160643,4,4,1,4,9,10,32,4486062012398216,True,1,False
50000,85,50084,100,417660568742742003295771606434,4,4,1,4,9,10,32,4860620123982169,True,1,False
50000,86,50085,100,176605687427420032957716064344,8,8,1,8,9,10,32,8606201239821698,True,1,False
50000,87,50086,100,766056874274200329577160643448,6,6,1,6,9,10,32,6062012398216982,True,1,False
50000,88,50087,100,660568742742003295771606434486,0,0,1,0,9,10,32,0620123982169827,True,1,False
50000,89,50088,100,605687427420032957716064344860,6,6,1,6,9,10,32,6201239821698271,True,1,False
50000,90,50089,100,056874274200329577160643448606,2,2,1,2,9,10,32,2012398216982717,True,1,False
50000,91,50090,100,568742742003295771606434486062,0,0,1,0,9,10,32,0123982169827172,True,1,False
50000,92,50091,100,687427420032957716064344860620,1,1,1,1,9,10,32,1239821698271723,True,1,False
50000,93,50092,100,874274200329577160643448606201,2,2,1,2,9,10,32,2398216982717231,True,1,False
50000,94,50093,100,742742003295771606434486062012,3,3,1,3,9,10,32,3982169827172319,True,1,False
50000,95,50094,100,427420032957716064344860620123,9,9,1,9,9,10,32,9821698271723197,True,1,False
50000,96,50095,100,274200329577160643448606201239,8,8,1,8,9,10,32,8216982717231978,True,1,False
50000,97,50096,100,742003295771606434486062012398,2,2,1,2,9,10,32,2169827172319782,True,1,False
50000,98,50097,100,420032957716064344860620123982,1,1,1,1,9,10,32,1698271723197826,True,1,False
50000,99,50098,100,200329577160643448606201239821,6,6,1,6,9,10,32,6982717231978268,True,1,False
50000,100,50099,100,003295771606434486062012398216,9,9,1,9,9,10,32,9827172319782681,True,1,False
100000,1,100000,100,712790913767420805655493624646,4,4,1,4,9,10,32,4126002437968454,True,1,False
100000,2,100001,100,127909137674208056554936246464,1,1,1,1,9,10,32,1260024379684543,True,1,False
100000,3,100002,100,279091376742080565549362464641,2,2,1,2,9,10,32,2600243796845437,True,1,False
100000,4,100003,100,790913767420805655493624646412,6,6,1,6,9,10,32,6002437968454377,True,1,False
100000,5,100004,100,909137674208056554936246464126,0,0,1,0,9,10,32,0024379684543777,True,1,False
100000,6,100005,100,091376742080565549362464641260,0,0,1,0,9,10,32,0243796845437773,True,1,False
100000,7,100006,100,913767420805655493624646412600,2,2,1,2,9,10,32,2437968454377733,True,1,False
100000,8,100007,100,137674208056554936246464126002,4,4,1,4,9,10,32,4379684543777339,True,1,False
100000,9,100008,100,376742080565549362464641260024,3,3,1,3,9,10,32,3796845437773390,True,1,False
100000,10,100009,100,767420805655493624646412600243,7,7,1,7,9,10,32,7968454377733902,True,1,False
100000,11,100010,100,674208056554936246464126002437,9,9,1,9,9,10,32,9684543777339026,True,1,False
100000,12,100011,100,742080565549362464641260024379,6,6,1,6,9,10,32,6845437773390264,True,1,False
100000,13,100012,100,420805655493624646412600243796,8,8,1,8,9,10,32,8454377733902647,True,1,False
100000,14,100013,100,208056554936246464126002437968,4,4,1,4,9,10,32,4543777339026472,True,1,False
100000,15,100014,100,080565549362464641260024379684,5,5,1,5,9,10,32,5437773390264725,True,1,False
100000,16,100015,100,805655493624646412600243796845,4,4,1,4,9,10,32,4377733902647251,True,1,False
100000,17,100016,100,056554936246464126002437968454,3,3,1,3,9,10,32,3777339026472512,True,1,False
100000,18,100017,100,565549362464641260024379684543,7,7,1,7,9,10,32,7773390264725128,True,1,False
100000,19,100018,100,655493624646412600243796845437,7,7,1,7,9,10,32,7733902647251281,True,1,False
100000,20,100019,100,554936246464126002437968454377,7,7,1,7,9,10,32,7339026472512819,True,1,False
100000,21,100020,100,549362464641260024379684543777,3,3,1,3,9,10,32,3390264725128194,True,1,False
100000,22,100021,100,493624646412600243796845437773,3,3,1,3,9,10,32,3902647251281941,True,1,False
100000,23,100022,100,936246464126002437968454377733,9,9,1,9,9,10,32,9026472512819416,True,1,False
100000,24,100023,100,362464641260024379684543777339,0,0,1,0,9,10,32,0264725128194163,True,1,False
100000,25,100024,100,624646412600243796845437773390,2,2,1,2,9,10,32,2647251281941632,True,1,False
100000,26,100025,100,246464126002437968454377733902,6,6,1,6,9,10,32,6472512819416320,True,1,False
100000,27,100026,100,464641260024379684543777339026,4,4,1,4,9,10,32,4725128194163200,True,1,False
100000,28,100027,100,646412600243796845437773390264,7,7,1,7,9,10,32,7251281941632007,True,1,False
100000,29,100028,100,464126002437968454377733902647,2,2,1,2,9,10,32,2512819416320076,True,1,False
100000,30,100029,100,641260024379684543777339026472,5,5,1,5,9,10,32,5128194163200768,True,1,False
100000,31,100030,100,412600243796845437773390264725,1,1,1,1,9,10,32,1281941632007684,True,1,False
100000,32,100031,100,126002437968454377733902647251,2,2,1,2,9,10,32,2819416320076848,True,1,False
100000,33,100032,100,260024379684543777339026472512,8,8,1,8,9,10,32,8194163200768487,True,1,False
100000,34,100033,100,600243796845437773390264725128,1,1,1,1,9,10,32,1941632007684873,True,1,False
